id,Neighborhood,Sector #,Population (2010),"Total Pop, 25 and older (2010)",Edu. Attainment: Less than High School (2010),Edu. Attainment: High School Graduate (2010),Edu. Attainment: Assoc./Prof. Degree (2010),Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),1999 Median Income ('99 Dollars),2009 Median Income ('09 Dollars),1999 Median Income ('11 Dollars),2009 Med. Income ('13 Dollars),Est. Pop. for which Poverty Calc. (2010),Est. Pop. Under Poverty (2010),Est. Percent Under Poverty (2010)
39,Banksville,5,"4,144","3,935",0.0980,0.5150,0.0980,0.2230,0.0660,"$38,555 ","$50,625 ","$51,217 ","$55,181 ","4,170",243,5.80%
77,Fineview,3,"1,285",986,0.1600,0.6680,0.0990,0.0370,0.0350,"$17,535 ","$29,643 ","$23,294 ","$32,311 ","1,415",473,33.40%
38,Westwood,4,"3,066","2,408",0.1070,0.5140,0.1000,0.1320,0.1470,"$36,820 ","$49,877 ","$48,912 ","$54,366 ","3,220",186,5.80%
8,Hays,8,362,335,0.5670,0.2660,0.1010,0.0660,0.0000,"$23,125 ","$29,833 ","$30,719 ","$32,518 ",545,161,29.50%
73,Arlington,7,"1,869","1,232",0.1490,0.6530,0.1010,0.0710,0.0250,"$27,167 ","$25,119 ","$36,089 ","$27,380 ","1,779",361,20.30%
58,Carrick,5,"10,113","7,615",0.1660,0.5870,0.1020,0.1010,0.0440,"$29,721 ","$37,563 ","$39,481 ","$40,943 ","10,435","1,546",14.80%
42,Mount Washington,6,"8,799","6,936",0.1090,0.5210,0.1030,0.1680,0.0970,"$28,295 ","$43,321 ","$37,587 ","$47,219 ","9,516","1,926",20.20%
50,Garfield,12,"3,675","2,424",0.1900,0.5460,0.1050,0.1000,0.0590,"$20,298 ","$20,937 ","$26,964 ","$22,821 ","4,166","1,852",44.50%
20,Greenfield,9,"7,294","5,823",0.0710,0.4280,0.1050,0.2230,0.1730,"$35,613 ","$43,580 ","$47,308 ","$47,502 ","7,860",725,9.20%
71,Northview Heights,1,"1,214",578,0.2490,0.6450,0.1060,0.0000,0.0000,"$9,256 ","$12,933 ","$12,296 ","$14,097 ","1,436",834,58.10%
70,Larimer,12,"1,728","1,205",0.1710,0.6380,0.1070,0.0630,0.0210,"$18,478 ","$26,665 ","$24,546 ","$29,064 ","1,544",333,21.60%
60,Troy Hill,1,"2,714","1,944",0.1200,0.5920,0.1070,0.1270,0.0550,"$28,137 ","$37,057 ","$37,377 ","$40,392 ","2,619",584,22.30%
52,Upper Hill,15,"2,057","1,299",0.1020,0.5540,0.1080,0.1270,0.1100,"$28,274 ","$32,000 ","$37,559 ","$34,880 ","1,799",421,23.40%
67,New Homestead,8,990,923,0.1010,0.6310,0.1090,0.1300,0.0290,"$42,019 ","$83,167 ","$55,818 ","$90,652 ","1,360",115,8.50%
16,South Side Flats,7,"6,597","4,973",0.0970,0.3830,0.1090,0.2760,0.1360,"$24,700 ","$40,565 ","$32,812 ","$44,215 ","6,741","1,385",20.50%
45,Homewood West,11,818,608,0.2680,0.5360,0.1100,0.0760,0.0100,"$20,658 ","$14,423 ","$27,442 ","$15,721 ",918,338,36.80%
48,Oakwood,4,"1,027",764,0.1610,0.5430,0.1110,0.0630,0.1220,"$29,716 ","$34,345 ","$39,475 ","$37,436 ","1,106",137,12.40%
56,Beechview,5,"7,974","5,211",0.1100,0.5810,0.1110,0.1360,0.0620,"$34,079 ","$36,602 ","$45,270 ","$39,896 ","7,450","1,366",18.30%
85,Summer Hill,1,"1,051",945,0.0380,0.7010,0.1130,0.1390,0.0100,"$39,018 ","$39,034 ","$51,832 ","$42,547 ","1,213",96,7.90%
72,East Hills,11,"3,169","1,532",0.1140,0.6480,0.1130,0.1140,0.0110,"$17,159 ","$21,658 ","$22,794 ","$23,607 ","2,588","1,073",41.50%
49,Perry North,2,"4,050","3,073",0.1140,0.5430,0.1130,0.1670,0.0620,"$42,705 ","$46,250 ","$56,729 ","$50,412 ","4,273",621,14.50%
61,Sheraden,4,"5,299","3,624",0.1890,0.5930,0.1130,0.0670,0.0380,"$34,502 ","$31,064 ","$45,832 ","$33,860 ","5,558","1,481",26.60%
54,Brookline,5,"13,214","10,716",0.0890,0.5750,0.1140,0.1620,0.0600,"$38,096 ","$45,691 ","$50,606 ","$49,803 ","14,454","1,692",11.70%
37,East Allegheny,3,"2,136","1,892",0.1740,0.5110,0.1170,0.1360,0.0620,"$17,267 ","$28,172 ","$22,938 ","$30,707 ","2,425",538,22.20%
7,Highland Park,12,"6,395","5,041",0.0660,0.2550,0.1210,0.2390,0.3180,"$42,711 ","$61,455 ","$56,737 ","$66,985 ","6,782",621,9.20%
65,Manchester,3,"2,130","1,315",0.1290,0.6180,0.1220,0.0690,0.0610,"$24,055 ","$32,418 ","$31,955 ","$35,336 ","2,068",391,18.90%
9,Strip District,13,616,443,0.0840,0.2730,0.1240,0.3340,0.1850,"$41,719 ","$64,868 ","$55,420 ","$70,706 ",469,10,2.10%
21,Morningside,12,"3,346","2,772",0.1500,0.4290,0.1240,0.2150,0.0810,"$35,980 ","$41,490 ","$47,796 ","$45,224 ","3,682",193,5.20%
79,Windgap,4,"1,369",979,0.1010,0.6710,0.1270,0.0630,0.0380,"$31,601 ","$40,982 ","$41,979 ","$44,670 ","1,333",72,5.40%
36,Bedford Dwellings,15,"1,202",733,0.0830,0.4990,0.1280,0.1420,0.1470,"$8,955 ","$9,992 ","$11,896 ","$10,891 ","1,203",589,49.00%
62,Lincoln-Lemington-Belmar,11,"4,883","2,897",0.1540,0.5960,0.1280,0.0850,0.0360,"$23,403 ","$29,564 ","$31,089 ","$32,225 ","4,896","1,490",30.40%
41,Brighton Heights,2,"7,247","5,597",0.0990,0.5160,0.1310,0.1800,0.0740,"$34,466 ","$39,694 ","$45,785 ","$43,267 ","8,366","1,780",21.30%
5,Point Breeze,10,"5,315","4,322",0.0500,0.2320,0.1340,0.2590,0.3250,"$71,548 ","$87,802 ","$95,044 ","$95,704 ","5,801",264,4.60%
75,Overbrook,5,"3,644","2,745",0.0660,0.6580,0.1360,0.1120,0.0290,"$37,981 ","$42,244 ","$50,454 ","$46,046 ","3,815",445,11.70%
34,South Oakland,14,"2,969","1,423",0.1240,0.4880,0.1370,0.1380,0.1120,"$24,190 ","$26,327 ","$32,134 ","$28,696 ","2,618",988,37.70%
47,Beltzhoover,6,"1,925","1,369",0.1930,0.5430,0.1380,0.0830,0.0420,"$26,750 ","$33,869 ","$35,535 ","$36,917 ","2,066",485,23.50%
3,Squirrel Hill South,10,"15,110","11,137",0.0480,0.2130,0.1460,0.2740,0.3200,"$40,327 ","$54,473 ","$53,570 ","$59,376 ","14,692","1,721",11.70%
17,Swisshelm Park,10,"1,361","1,110",0.0860,0.3860,0.1490,0.2620,0.1180,"$53,456 ","$72,500 ","$71,011 ","$79,025 ","1,404",30,2.10%
4,North Oakland,14,"10,551","3,050",0.0430,0.2310,0.1530,0.2740,0.2990,"$41,532 ","$50,004 ","$55,171 ","$54,504 ","5,077","1,989",39.20%
12,Glen Hazel,9,716,558,0.4100,0.3410,0.1560,0.0930,0.0000,"$9,315 ","$12,833 ","$12,374 ","$13,988 ",526,200,38.00%
25,Polish Hill,13,"1,274","1,210",0.1590,0.4550,0.1600,0.1830,0.0440,"$19,353 ","$30,972 ","$25,709 ","$33,759 ","1,393",103,7.40%
23,Allegheny Center,3,933,609,0.1870,0.4450,0.1720,0.1580,0.0380,"$16,964 ","$20,911 ","$22,535 ","$22,793 ",954,324,34.00%
1,Squirrel Hill North,10,"11,363","6,207",0.0180,0.1410,0.1740,0.2670,0.4010,"$64,740 ","$83,861 ","$86,001 ","$91,409 ","9,009",797,8.80%
40,Fairywood,4,"1,002",233,0.1460,0.5150,0.1760,0.1630,0.0000,"$11,222 ","$34,438 ","$14,907 ","$37,537 ",400,150,37.50%
2,Shadyside,12,"13,915","10,234",0.0420,0.1570,0.1800,0.3230,0.2980,"$35,709 ","$45,315 ","$47,435 ","$49,393 ","13,757","2,656",19.30%
31,Elliott,4,"2,381","1,481",0.2320,0.4770,0.1900,0.0950,0.0070,"$29,954 ","$26,042 ","$39,791 ","$28,386 ","2,268",445,19.60%
30,Chartiers City,4,477,330,0.1580,0.4700,0.1970,0.1060,0.0700,"$31,806 ","$40,125 ","$42,251 ","$43,736 ",418,22,5.30%
15,North Shore,16,303,196,0.0560,0.3620,0.2400,0.0560,0.2860,"$70,125 ","$82,650 ","$93,154 ","$90,089 ",229,0,0.00%
14,West End,4,254,86,0.1280,0.3600,0.2440,0.2670,0.0000,"$21,382 ","$41,250 ","$28,404 ","$44,963 ",116,0,0.00%
90,Chateau,3,11,0,N/A,N/A,N/A,N/A,N/A,"$7,440 ",$0 ,"$9,883 ",$0 ,92,92,100.00%
